match_id,competition,season,period,minute,is_shootout,shootout_kick_order,team,kicker,kicker_id,body_part,outcome,end_y,direction
3922658,African Cup of Nations,2023,5,122,True,2.0,Cape Verde Islands,Willy Afonso Semedo Johnson,28413.0,Right Foot,Saved,37.0,R
3922658,African Cup of Nations,2023,5,123,True,2.0,South Africa,Zakhele Lerato Lepasa,64607.0,Right Foot,Post,40.5,C
3922658,African Cup of Nations,2023,5,123,True,3.0,Cape Verde Islands,Laros Duarte,21173.0,Right Foot,Saved,37.1,R
3922658,African Cup of Nations,2023,5,125,True,3.0,South Africa,Aubrey Maphosa Modiba,65733.0,Left Foot,Saved,42.6,L
3922658,African Cup of Nations,2023,5,126,True,4.0,Cape Verde Islands,Bryan Alberto Silva Teixeira Jr.,32868.0,Right Foot,Goal,43.2,L
3922658,African Cup of Nations,2023,5,127,True,4.0,South Africa,Mothobi Mvala,65732.0,Right Foot,Goal,38.5,C
3922658,African Cup of Nations,2023,5,128,True,5.0,Cape Verde Islands,Erickson Patrick Correia Andrade,50968.0,Left Foot,Saved,42.8,L
3920410,African Cup of Nations,2023,1,14,False,,Ghana,Jordan Ayew,3450.0,Right Foot,Goal,43.8,L
3920410,African Cup of Nations,2023,2,69,False,,Ghana,Jordan Ayew,3450.0,Right Foot,Goal,37.1,R
3920410,African Cup of Nations,2023,2,90,False,,Mozambique,Geny Cipriano Catamo,127300.0,Left Foot,Goal,42.6,L
3923880,African Cup of Nations,2023,5,120,True,1.0,South Africa,Teboho Mokoena,66716.0,Right Foot,Post,36.0,R
3923880,African Cup of Nations,2023,5,121,True,1.0,Congo DR,Samuel Moutoussamy,4412.0,Left Foot,Goal,36.4,R
3923880,African Cup of Nations,2023,5,122,True,2.0,South Africa,Nkosinathi Sibisi,67974.0,Right Foot,Goal,41.7,L
3923880,African Cup of Nations,2023,5,123,True,2.0,Congo DR,Omenuke Mfulu,18783.0,Right Foot,Goal,40.3,C
3923880,African Cup of Nations,2023,5,123,True,3.0,South Africa,Thabang Amod Monare,64629.0,Right Foot,Goal,36.9,R
3923880,African Cup of Nations,2023,5,124,True,3.0,Congo DR,Cédric Bakambu,6862.0,Right Foot,Goal,39.4,C
3923880,African Cup of Nations,2023,5,125,True,4.0,South Africa,Aubrey Maphosa Modiba,65733.0,Left Foot,Goal,43.2,L
3923880,African Cup of Nations,2023,5,126,True,4.0,Congo DR,Joris Kayembe Ditu,4939.0,Left Foot,Goal,38.7,C
3923880,African Cup of Nations,2023,5,127,True,5.0,South Africa,Zakhele Lerato Lepasa,64607.0,Right Foot,Goal,37.6,R
3923880,African Cup of Nations,2023,5,128,True,5.0,Congo DR,Chancel Mbemba Mangulu,3044.0,Right Foot,Saved,37.7,R
3923880,African Cup of Nations,2023,5,129,True,6.0,South Africa,Oswin Reagan Appollis,66725.0,Right Foot,Goal,36.8,R
3923880,African Cup of Nations,2023,5,130,True,6.0,Congo DR,Yoane Wissa,7294.0,Right Foot,Goal,42.8,L
3923880,African Cup of Nations,2023,5,131,True,7.0,South Africa,Siyanda Xulu,102722.0,Right Foot,Goal,37.1,R
3923880,African Cup of Nations,2023,5,132,True,7.0,Congo DR,Meschak Elia,35684.0,Right Foot,Saved,38.1,R
3922837,African Cup of Nations,2023,2,66,False,,Nigeria,William Troost-Ekong,5455.0,Right Foot,Goal,40.7,C
3922837,African Cup of Nations,2023,2,89,False,,South Africa,Teboho Mokoena,66716.0,Right Foot,Goal,36.8,R
3922837,African Cup of Nations,2023,5,120,True,2.0,Nigeria,Terem Igobor Moffi,34335.0,Left Foot,Goal,39.8,C
3922837,African Cup of Nations,2023,5,121,True,2.0,South Africa,Teboho Mokoena,66716.0,Right Foot,Saved,38.1,R
3922837,African Cup of Nations,2023,5,121,True,3.0,Nigeria,Kenneth Josiah Omeruo,5830.0,Right Foot,Goal,36.6,R
3922837,African Cup of Nations,2023,5,122,True,3.0,South Africa,Mihlali Samson Mayambela,133003.0,Right Foot,Goal,43.5,L
3922837,African Cup of Nations,2023,5,123,True,4.0,Nigeria,Temitayo Olufisayo Olaoluwa Aina,11492.0,Right Foot,Off T,37.6,R
3922837,African Cup of Nations,2023,5,124,True,4.0,South Africa,Evidence Makgopa,65853.0,Right Foot,Saved,38.6,C
3922837,African Cup of Nations,2023,5,125,True,5.0,Nigeria,William Troost-Ekong,5455.0,Right Foot,Goal,37.0,R
3922837,African Cup of Nations,2023,5,126,True,5.0,South Africa,Mothobi Mvala,65732.0,Right Foot,Goal,38.4,R
3922837,African Cup of Nations,2023,5,127,True,6.0,Nigeria,Kelechi Promise Iheanacho,3708.0,Left Foot,Goal,43.7,L
3922242,African Cup of Nations,2023,2,85,False,,Côte d'Ivoire,Franck Yannick Kessié,7023.0,Right Foot,Goal,41.6,L
3922242,African Cup of Nations,2023,5,120,True,1.0,Senegal,Kalidou Koulibaly,5675.0,Right Foot,Goal,42.8,L
3922242,African Cup of Nations,2023,5,121,True,2.0,Côte d'Ivoire,Nicolas Pépé,3013.0,Left Foot,Goal,37.4,R
3922242,African Cup of Nations,2023,5,122,True,2.0,Senegal,Pape Matar Sarr,50498.0,Right Foot,Goal,37.9,R
3922242,African Cup of Nations,2023,5,123,True,3.0,Côte d'Ivoire,Christian Kouamé,12496.0,Right Foot,Goal,43.2,L
3922242,African Cup of Nations,2023,5,124,True,3.0,Senegal,Moussa Niakhate,3198.0,Left Foot,Post,36.0,R
3922242,African Cup of Nations,2023,5,125,True,4.0,Côte d'Ivoire,Sébastien Haller,8673.0,Right Foot,Goal,37.2,R
3922242,African Cup of Nations,2023,5,126,True,4.0,Senegal,Cheikh Ahmadou Bamba Mbacke Dieng,88123.0,Right Foot,Goal,36.6,R
3922242,African Cup of Nations,2023,5,127,True,5.0,Côte d'Ivoire,Serge Aurier,3481.0,Right Foot,Goal,38.0,R
3922242,African Cup of Nations,2023,5,128,True,5.0,Senegal,Sadio Mané,3629.0,Right Foot,Goal,41.0,C
3922242,African Cup of Nations,2023,5,129,True,6.0,Côte d'Ivoire,Franck Yannick Kessié,7023.0,Right Foot,Goal,42.7,L
3922239,African Cup of Nations,2023,2,68,False,,Equatorial Guinea,Emilio Nsue López,13581.0,Right Foot,Post,44.1,L
3922659,African Cup of Nations,2023,1,16,False,,Mali,Adama Traoré,4464.0,Left Foot,Saved,43.0,L
3922244,African Cup of Nations,2023,2,56,False,,Burkina Faso,Bertrand Isidore Traoré,2956.0,Left Foot,Goal,36.7,R
3922356,African Cup of Nations,2023,1,20,False,,Guinea,Mohamed Bayo,8454.0,Right Foot,Goal,42.7,L
